Crypto,Modele,R2 Default,R2 Tuned,MAE Tuned,RMSE Tuned
BTC,Linear Regression,1.0,1.0,82.3,129.07
BTC,Ridge,1.0,1.0,82.3,129.07
BTC,Lasso,1.0,1.0,82.29,128.98
BTC,Random Forest,-0.4862,-0.487,17983.59,23759.93
BTC,XGBoost,-0.7062,-0.7055,19495.82,25446.05
BTC,LightGBM,-0.6809,-0.6937,19422.05,25357.56
BTC,CatBoost,-0.6817,-0.6602,19226.5,25105.59
ETH,Linear Regression,0.9999,0.9999,4.14,6.47
ETH,Ridge,0.9999,0.9999,4.14,6.47
ETH,Lasso,0.9999,0.9999,4.13,6.47
ETH,Random Forest,0.9999,0.9999,4.69,7.38
ETH,XGBoost,0.9997,0.9997,7.26,11.87
ETH,LightGBM,0.9997,0.9997,7.1,11.52
ETH,CatBoost,0.9921,0.9989,16.93,23.92
SOL,Linear Regression,0.9998,0.9998,0.3,0.46
SOL,Ridge,0.9998,0.9998,0.3,0.46
SOL,Lasso,0.9971,0.9998,0.3,0.47
SOL,Random Forest,0.9994,0.9994,0.37,0.87
SOL,XGBoost,0.9967,0.997,0.85,2.01
SOL,LightGBM,0.9975,0.9975,0.82,1.85
SOL,CatBoost,0.9969,0.9972,1.04,1.96
